Content,Label ,,,
parah pake text otomatis prabayar jangan download,Negatif,100,100,50
senang,Positif,,,
bagus tolong kurang iklan nya,Netral,,,
aplikasi gak bayar gilir udah gak kafir banget aplikasi nya gak serakah gak malu gak download nyusahin,Negatif,,,
aplikasi kesini gak ngotak njir sara kali aplikasi niat nya sih orang cuman ngedit doang suruh bayar bikin ribet aja beda ama aplikasi belah,Negatif,,,
terimakasih sdh aplikasi,Positif,,,
iklan judol mulu bgst,Negatif,,,
bug nyah jir,Negatif,,,
loba iklan ,Negatif,,,
aplikasi kikir jir,Negatif,,,
pro fitur mikir mas gak semuamuanya pro mau haji gimana dah buset,Negatif,,,
suka aplikasi syantik suka iklan,Positif,,,
bagus,Positif,,,
edit dengen lancar,Positif,,,
iklan iklan iklan nya nga skip trus bnyak bug kecewa guna aplikasi,Negatif,,,
suka,Positif,,,
aplikasi capcutpencuri ambil akun ewalet mohon pelang capcut hati hati aplikasi,Negatif,,,
aplikasi nya bagus banget tpi kadang gak download,Netral,,,
suka,Positif,,,
bagus banget,Positif,,,
keren banget,Positif,,,
aplikasi bagus edit nya semangat,Positif,,,
captcut setan,Negatif,,,
mantap,Positif,,,
parah bayr smua,Negatif,,,
semenjak update template bayar sih bayar tolong perbaikin,Negatif,,,
top,Positif,,,
bagus suka,Positif,,,
bagus banget aplikasi nya,Positif,,,
woi udah muak banget bug nya pro nya ngedit nya mudah susah nya kalo ngedit vidio bug hasil vidio gak sesuai baikin woi capcut,Negatif,,,
aplikasi guna mengeditetapi minus nya kalo ngedit iklanoh iya skrng iklan bayaroke sih aman aja iklankarna wajar iklan mahaplikasi gak nya gratis yamungkin ribet iklan nyajadi tolong pis jan iklan nya bayaroke gin aja terima kasih,Negatif,,,
bagus,Positif,,,
kesini iklan males banget,Negatif,,,
suka eror pakai,Negatif,,,
woi kenapa lambat video edit lagu nya hilang pas putar parah fitur bayar kualitas video jelek banget pas aplikasi udah mahal bayar,Negatif,,,
ngedit foto aja udah susahsemua bayar lah,Negatif,,,
bagus banget,Positif,,,
bagus coba bayar gak gratis dah bayar coba aja gak gimana eror kah,Netral,,,
aplikasi firaun suruh bayar fitur,Negatif,,,
gacor,Positif,,,
bagus,Positif,,,
kesel kadang susah ekspor jaring nya gak masalah terus nya gak lot,Negatif,,,
lumayan,Netral,,,
aplikasi kebelet haji,Negatif,,,
edition bagus,Positif,,,
aplikasi download baik,Positif,,,
bagus,Positif,,,
banyak iklan ,Negatif,,,
gak berkatakata aplikasi bagus banget,Positif,,,
aplikasi butut gak bayar udh langan msih bayar serakah aplikasi udah lagmakan data dsuruh bayar terusmenerus gilak aplikasi lag bget aplikasi gak edit anjr,Negatif,,,
suka,Positif,,,
bagus edit,Positif,,,
kece,Positif,,,
nge lag banget udah instal kali,Negatif,,,
aplikasi bagus,Positif,,,
iklan mana fitur pro gwe gapunya duit aplikasi buruk banget,Negatif,,,
aplikasi nya guna,Positif,,,
bagus bagus aja sih,Positif,,,
bagus banget,Positif,,,
udah gbisa ngekspor gratis lgi udh lumyn jlk,Netral,,,
ngebug,Negatif,,,
iklan coy dikitdikit iklan tadiny fre bayar kayak apansieh,Negatif,,,
bagus gak download,Positif,,,
bagus,Positif,,,
bug gak ekspor video memori udh dibersihin sisa gabisa ekspor tulis salah teknis fiturfitur bayar serakah bner,Negatif,,,
bagus,Positif,,,
bagus banget,Positif,,,
aplikasi nya bagus kadang ngelag,Netral,,,
ngeleg,Negatif,,,
sngat buruk iklanya anjir,Negatif,,,
aplikasi bagus suka karna iklan kalo gak iklan bagus,Netral,,,
aplikasi dikit iklan dikit iklan nge ekspor udh iklan ,Negatif,,,
aplikasi nya bagus,Positif,,,
bagus,Positif,,,
kecewa banget capcutsat upload udah ngk gratis fitur berbayarudahlah mending uninstal aja,Negatif,,,
keren,Positif,,,
bgs sih cuman fitur pro jdi bntang,Netral,,,
aplikasi kafir,Negatif,,,
bagus banget pokok,Positif,,,
bagus,Positif,,,
gak seru aplikasi,Negatif,,,
bagus,Positif,,,
bagus sihtapi ntah ekpor nungu bgtapalagi eror melulumohon perbagusin,Netral,,,
jelek dikit bayar dikit bayar gak orang bayar,Negatif,,,
lumayan lah,Netral,,,
ngapa bayar sieh aplikasi tuh bagus mes cuman haru bayar,Netral,,,
sangat bagus,Positif,,,
jelek,Negatif,,,
kurang bintang karna iklan nyatapi bagus keren mes nya iklan aja,Netral,,,
bagus,Positif,,,
keren sih,Positif,,,
bagus banget sumpil,Positif,,,
bagus mudah,Positif,,,
bagus,Positif,,,
jelek ngedit cahaya nya,Negatif,,,
banyak iklan trus kgk hapus udah nungu menit iklan kgk hilang hilang,Negatif,,,
mudah bagus,Positif,,,
bagus banget,Positif,,,
suka ngelek bagus aplikasi nya iklan tolong rangin iklan,Positif,,,
oke aja sih cuman jujur lumayan risih video ditampilin template kadang scrol template cari bagus ketemu video udah banget tonton gak sesuai ditampilin beranda template mending kalo kali muncul udah dah muak banget mohon baik dev saran bikin fitur premium ngerepotin banget,Netral,,,
bagus,Positif,,,
banyak iklan,Negatif,,,
not bad bagus,Netral,,,
aplikasi kikir pro,Negatif,,,
aplikasi burik pasang foto bilang pasang efek anime,Negatif,,,
aplikasi bagus,Positif,,,
aplikasi keren,Positif,,,
susah download,Negatif,,,
aplikasi aneh saldo potong saldo potong langan,Negatif,,,
jelek kesini iklan nonton iklan nya selesai notifikasi tonton iklan selesai mumet,Negatif,,,
bagus aja sih,Netral,,,
aplikasi aneh,Negatif,,,
capcut banyak iklan jengkel kalo buka cap cut,Negatif,,,
aplikasi bagus kesini laen update nya nambah cangih nambah kentang abis update ngeleg gak ngerti udh pro loh ges,Netral,,,
bagus,Positif,,,
lumayan lah,Netral,,,
bagus,Positif,,,
aplikasi ngelagtapi edit bagus,Netral,,,
bagus,Positif,,,
bagus banget capcut suka dah pokonya,Positif,,,
aplikasi gajelas,Negatif,,,
bagus banget minus iklan bayar,Netral,,,
jelek nonton iklan kali ekspor kalo gak gak ekspor fitur bayar ekspor kadang nonton iklan bngt kalo bayar mending gak donlod aplikasi kalo download nyesel deh,Negatif,,,
aplikasi tengil ngeselin banget udah rame langsung bayar fiturnya udah gitu ribet iklan,Negatif,,,
bagus buat ngedit foto,Positif,,,
capcut bagus tuh video bagus suka banget capcut bagus banget cangih udah,Positif,,,
suka banget lucu lucu bagus cantik,Positif,,,
bagus baget,Positif,,,
bagus bikin edit gampang klo tugas skola terus ngedit nya capcut emg the best tpi iklan nya banget bkn emosi iklan nya rangin yea,Netral,,,
mantap,Positif,,,
mantap kurang iklan nya,Positif,,,
puas,Positif,,,
bagus edit bagus hasil muas,Positif,,,
jijik,Negatif,,,
bagus,Positif,,,
jelek ekspor nya lambat baik,Negatif,,,
bagus sih update susah nyimpen vidio nya nonton iklan kali udah simpen nonton iklan muat ulang template nya hilang sebenernya suka kadang kesal nya suruh nonton iklan gak simpen gimna,Netral,,,
banyak bug,Negatif,,,
bagus,Positif,,,
aplikasi bagus,Positif,,,
aplikasi bayar ngedit aja bayar mahal banget bikin premium ngak premium kena iklan bikin penguna resahsemoga cipta operator nya cepet kasih sehat,Negatif,,,
rajin bngt ngedit suka bnget,Positif,,,
bagus sih tpi gak suka nya sponsor nya,Netral,,,
bagus banget aplikasi,Positif,,,
bagus bgt,Positif,,,
template nya bagus bagus bikin video cinematic,Positif,,,
bagus,Positif,,,
suka aplikasi capcut,Positif,,,
bagus,Positif,,,
bagus,Positif,,,
cantik sumpah,Positif,,,
lemot,Negatif,,,
banyak iklan,Negatif,,,
bagus,Positif,,,
aplikasi nya udah bagus pas edit video foto kaya gitu saran beli prem mahal premium nya edit suara pas premium mending gratis,Netral,,,
bagus sekali,Positif,,,
benci banget dikit dikit iklan,Negatif,,,
mantap,Positif,,,
bagus banget download aplikasi,Positif,,,
aplikasi mangkin parah lekat buka semangkin buruk sblm update bagus,Negatif,,,
lumayan,Netral,,,
ekspor video bener lama banget pas ngedit video ngelag sempet udah ekspor video udah simpan pas cek gak tolong baik,Negatif,,,
suka banget sih,Positif,,,
banget iklan nya gasuka banget bikin badmod,Negatif,,,
aplikasi bagus,Positif,,,
bagus bgt tapi bnyk iklan,Netral,,,
bagus tpi iklan bayar,Netral,,,
suka,Positif,,,
bagus,Positif,,,
jelek banget banget gunain tempalate nya nglag,Negatif,,,
aplikasi ngelunjak,Negatif,,,
capcut bagus mutiara indah,Positif,,,
iklan muak ken hapus aplikasi,Negatif,,,
keren bnget,Positif,,,
bagus skrng banyak bayar,Netral,,,
benci,Negatif,,,
bagus edit video pakai milik orang tema sendiri,Positif,,,
enak bagus,Positif,,,
aplikasi kikir banyak iklan iklan bayar kebelet haji bayar eror mulu udah download uninstal aja gak rekomend aplikasi,Negatif,,,
ngelag,Negatif,,,
aplikasi jelek ktnya gratis langan notif transaksi aplikasi cpct gajelas tipu nipu bohong hoak ning ganti aja aplikasi lainsoalnya gua uda kembali dana kga kasi wkwkw untung uda gua stop transksi nya klo kga abis tuduit gua ginian doang sgitu gua jrang pke aplikasi nya keitung gapernah mungkinboikot capcut,Negatif,,,
mantap,Positif,,,
bagus sih cuman kenapa fitur nya pro kebelet haji gimana dah heran ama tolong rangin fitur pro nya,Netral,,,
aplikasi jelek bayar,Negatif,,,
suka,Positif,,,
bagus aja sih,Positif,,,
baik,Positif,,,
jelek rekomendasi mending pake aplikasi aja aplikasi capcut rekomendasi jelek iklan kadang suka ngeleg kalo ngekspor nungu iklan,Negatif,,,
