Content,Label
parah pake text otomatis prabayar jangan download,Negatif
senang,Positif
bagus tolong kurang iklan nya,Netral
aplikasi gak bayar gilir udah gak kafir banget aplikasi nya gak serakah gak malu gak download nyusahin,Negatif
aplikasi kesini gak ngotak njir sara kali aplikasi niat nya sih orang cuman ngedit doang suruh bayar bikin ribet aja beda ama aplikasi belah,Negatif
terimakasih sdh aplikasi,Positif
iklan judol mulu bgst,Negatif
bug nyah jir,Negatif
loba iklan ,Negatif
aplikasi kikir jir,Negatif
pro fitur mikir mas gak semuamuanya pro mau haji gimana dah buset,Negatif
suka aplikasi syantik suka iklan,Positif
bagus,Positif
edit dengen lancar,Positif
iklan iklan iklan nya nga skip trus bnyak bug kecewa guna aplikasi,Negatif
suka,Positif
aplikasi capcutpencuri ambil akun ewalet mohon pelang capcut hati hati aplikasi,Negatif
aplikasi nya bagus banget tpi kadang gak download,Netral
suka,Positif
bagus banget,Positif
keren banget,Positif
aplikasi bagus edit nya semangat,Positif
captcut setan,Negatif
mantap,Positif
parah bayr smua,Negatif
semenjak update template bayar sih bayar tolong perbaikin,Negatif
top,Positif
bagus suka,Positif
bagus banget aplikasi nya,Positif
woi udah muak banget bug nya pro nya ngedit nya mudah susah nya kalo ngedit vidio bug hasil vidio gak sesuai baikin woi capcut,Negatif
aplikasi guna mengeditetapi minus nya kalo ngedit iklanoh iya skrng iklan bayaroke sih aman aja iklankarna wajar iklan mahaplikasi gak nya gratis yamungkin ribet iklan nyajadi tolong pis jan iklan nya bayaroke gin aja terima kasih,Negatif
bagus,Positif
kesini iklan males banget,Negatif
suka eror pakai,Negatif
woi kenapa lambat video edit lagu nya hilang pas putar parah fitur bayar kualitas video jelek banget pas aplikasi udah mahal bayar,Negatif
ngedit foto aja udah susahsemua bayar lah,Negatif
bagus banget,Positif
bagus coba bayar gak gratis dah bayar coba aja gak gimana eror kah,Netral
aplikasi firaun suruh bayar fitur,Negatif
gacor,Positif
bagus,Positif
kesel kadang susah ekspor jaring nya gak masalah terus nya gak lot,Negatif
lumayan,Netral
aplikasi kebelet haji,Negatif
edition bagus,Positif
aplikasi download baik,Positif
bagus,Positif
banyak iklan ,Negatif
gak berkatakata aplikasi bagus banget,Positif
aplikasi butut gak bayar udh langan msih bayar serakah aplikasi udah lagmakan data dsuruh bayar terusmenerus gilak aplikasi lag bget aplikasi gak edit anjr,Negatif
suka,Positif
bagus edit,Positif
kece,Positif
nge lag banget udah instal kali,Negatif
aplikasi bagus,Positif
iklan mana fitur pro gwe gapunya duit aplikasi buruk banget,Negatif
aplikasi nya guna,Positif
bagus bagus aja sih,Positif
bagus banget,Positif
udah gbisa ngekspor gratis lgi udh lumyn jlk,Netral
ngebug,Negatif
iklan coy dikitdikit iklan tadiny fre bayar kayak apansieh,Negatif
bagus gak download,Positif
bagus,Positif
bug gak ekspor video memori udh dibersihin sisa gabisa ekspor tulis salah teknis fiturfitur bayar serakah bner,Negatif
bagus,Positif
bagus banget,Positif
aplikasi nya bagus kadang ngelag,Netral
