Rating,Komentar,Review,text_clean,text_CaseFolding,text_Tokenized,text_Stopwords,text_Stemmed,text_normalized_stemmed
1,parah pake text otomatis saja prabayar jgn di donlod anjritttt,parah pake text otomatis saja prabayar jgn di donlod anjritttt,parah pake text otomatis saja prabayar jgn di donlod anjritttt,parah pake text otomatis saja prabayar jgn di donlod anjritttt,"['parah', 'pake', 'text', 'otomatis', 'saja', 'prabayar', 'jgn', 'di', 'donlod', 'anjritttt']","['parah', 'pake', 'text', 'otomatis', 'prabayar', 'jgn', 'donlod', 'anjritttt']",parah pake text otomatis prabayar jgn donlod anjritttt,parah pake text otomatis prabayar jangan donlod anjrit
3,knp aplikasinya hang trs pdhl baru aja di-update...dl aplikasi ini lancar dan bagus2 aja .,knp aplikasinya hang trs pdhl baru aja di-update...dl aplikasi ini lancar dan bagus2 aja .,knp aplikasinya hang trs pdhl baru aja diupdatedl aplikasi ini lancar dan bagus aja ,knp aplikasinya hang trs pdhl baru aja diupdatedl aplikasi ini lancar dan bagus aja ,"['knp', 'aplikasinya', 'hang', 'trs', 'pdhl', 'baru', 'aja', 'diupdatedl', 'aplikasi', 'ini', 'lancar', 'dan', 'bagus', 'aja']","['knp', 'aplikasinya', 'hang', 'trs', 'pdhl', 'aja', 'diupdatedl', 'aplikasi', 'lancar', 'bagus', 'aja']",knp aplikasi hang trs pdhl aja diupdatedl aplikasi lancar bagus aja,kenapa aplikasi hang terus padahal aja diupdatedl aplikasi lancar bagus aja
5,saya senang,saya senang,saya senang,saya senang,"['saya', 'senang']",['senang'],senang,senang
1,ya smua aja di premium capcut mo naik haji apa gmn dah,ya smua aja di premium capcut mo naik haji apa gmn dah,ya smua aja di premium capcut mo naik haji apa gmn dah,ya smua aja di premium capcut mo naik haji apa gmn dah,"['ya', 'smua', 'aja', 'di', 'premium', 'capcut', 'mo', 'naik', 'haji', 'apa', 'gmn', 'dah']","['ya', 'smua', 'aja', 'premium', 'capcut', 'mo', 'haji', 'gmn', 'dah']",ya smua aja premium capcut mo haji gmn dah,smua aja premium capcut mau haji gmn dah
5,bagus tapi tolong kurangi iklan nya,bagus tapi tolong kurangi iklan nya,bagus tapi tolong kurangi iklan nya,bagus tapi tolong kurangi iklan nya,"['bagus', 'tapi', 'tolong', 'kurangi', 'iklan', 'nya']","['bagus', 'tolong', 'kurangi', 'iklan', 'nya']",bagus tolong kurang iklan nya,bagus tolong kurang iklan nya
1,"aplikasi ga guna, apa apa berbayar giliran udah ga bisa juga, kafir banget apk nya ga guna serakahh hu ga malu ga usah di download nyusahin","aplikasi ga guna, apa apa berbayar giliran udah ga bisa juga, kafir banget apk nya ga guna serakahh hu ga malu ga usah di download nyusahin",aplikasi ga guna apa apa berbayar giliran udah ga bisa juga kafir banget apk nya ga guna serakahh hu ga malu ga usah di download nyusahin,aplikasi ga guna apa apa berbayar giliran udah ga bisa juga kafir banget apk nya ga guna serakahh hu ga malu ga usah di download nyusahin,"['aplikasi', 'ga', 'guna', 'apa', 'apa', 'berbayar', 'giliran', 'udah', 'ga', 'bisa', 'juga', 'kafir', 'banget', 'apk', 'nya', 'ga', 'guna', 'serakahh', 'hu', 'ga', 'malu', 'ga', 'usah', 'di', 'download', 'nyusahin']","['aplikasi', 'ga', 'berbayar', 'giliran', 'udah', 'ga', 'kafir', 'banget', 'apk', 'nya', 'ga', 'serakahh', 'hu', 'ga', 'malu', 'ga', 'download', 'nyusahin']",aplikasi ga bayar gilir udah ga kafir banget apk nya ga serakahh hu ga malu ga download nyusahin,aplikasi gak bayar gilir udah gak kafir banget aplikasi nya gak serakah gak malu gak download nyusahin
1,transaksi ghaib,transaksi ghaib,transaksi ghaib,transaksi ghaib,"['transaksi', 'ghaib']","['transaksi', 'ghaib']",transaksi ghaib,transaksi ghaib
1,"ni apk makin kesini makin gak ngotak njir, sarakah kali, ni apk niat nya apa sih, orang cuman buat ngedit doang disuruh bayar, bikin ribet aja, beda ama apk sebelah.","ni apk makin kesini makin gak ngotak njir, sarakah kali, ni apk niat nya apa sih, orang cuman buat ngedit doang disuruh bayar, bikin ribet aja, beda ama apk sebelah.",ni apk makin kesini makin gak ngotak njir sarakah kali ni apk niat nya apa sih orang cuman buat ngedit doang disuruh bayar bikin ribet aja beda ama apk sebelah,ni apk makin kesini makin gak ngotak njir sarakah kali ni apk niat nya apa sih orang cuman buat ngedit doang disuruh bayar bikin ribet aja beda ama apk sebelah,"['ni', 'apk', 'makin', 'kesini', 'makin', 'gak', 'ngotak', 'njir', 'sarakah', 'kali', 'ni', 'apk', 'niat', 'nya', 'apa', 'sih', 'orang', 'cuman', 'buat', 'ngedit', 'doang', 'disuruh', 'bayar', 'bikin', 'ribet', 'aja', 'beda', 'ama', 'apk', 'sebelah']","['ni', 'apk', 'kesini', 'gak', 'ngotak', 'njir', 'sarakah', 'kali', 'ni', 'apk', 'niat', 'nya', 'sih', 'orang', 'cuman', 'ngedit', 'doang', 'disuruh', 'bayar', 'bikin', 'ribet', 'aja', 'beda', 'ama', 'apk', 'sebelah']",ni apk kesini gak ngotak njir sara kali ni apk niat nya sih orang cuman ngedit doang suruh bayar bikin ribet aja beda ama apk belah,aplikasi kesini gak ngotak njir sara kali aplikasi niat nya sih orang cuman ngedit doang suruh bayar bikin ribet aja beda ama aplikasi belah
1,udah bayar masih disiruh bayar lagi,udah bayar masih disiruh bayar lagi,udah bayar masih disiruh bayar lagi,udah bayar masih disiruh bayar lagi,"['udah', 'bayar', 'masih', 'disiruh', 'bayar', 'lagi']","['udah', 'bayar', 'disiruh', 'bayar']",udah bayar disiruh bayar,udah bayar disiruh bayar
1,terlalu babnyak iklan dan ga bisa di skip,terlalu babnyak iklan dan ga bisa di skip,terlalu babnyak iklan dan ga bisa di skip,terlalu babnyak iklan dan ga bisa di skip,"['terlalu', 'babnyak', 'iklan', 'dan', 'ga', 'bisa', 'di', 'skip']","['babnyak', 'iklan', 'ga', 'skip']",babnyak iklan ga skip,babnyak iklan gak skip
